Brooks Koepka,10,8,8,10,33,25,33,25,12, ,20, , , , , , , , , , , ,9, ,8, , , ,9,8,8, ,10,10, ,7, ,7.5,8.5,6.5, , ,11,7.5, , ,25, ,22, ,22,12,12,18, , , , ,,,11,,,,,9,9,,,12,14,12,12,,20,28,11,22,,,,16,25,9,,25,,40,40,,,,,,,,,,,,,,,,11,20,28,28,20, ,22,18,,,
Gary Woodland,80,50,50,66,33,50,40, ,22,40, , ,28,25, , ,14, , , , ,25,28, ,33, , , ,40,66,66, ,40,66, , ,12, ,80, ,28, ,66, ,28, ,80, ,55,22,55, ,20,33, , ,18,28,,14,25,,18,18,, ,35,22,,50,70,75,66,,100,150,40,250,,,40,,150,,125,,,125,70,,,125,,66,,45,55,28,,22,35,40,,33,,70,90,100,66, ,100,55,,,
Kevin Kisner,125,125,100,80,40,70,125,80, ,100, ,40, , ,28,40,66,28,33, ,80,66, , , , , , ,40,66,100, ,80,150, , ,33,80,125, ,66,35,100, , ,25,66, ,66,40,90,100, ,100, ,80,80, ,45,50,,28,55,,, ,,,,,90,100,70,,100,100,33,400,,50,,,150,,100,40,,66,33,,28,100,,100,66,,75,50,,50,,,20,18,25,80,80,66,66,14,80,80,,,
Tyrrell Hatton,66,100,80,150,40, ,40,50,80,80, , , , , , , , , , ,40, ,40, , , , , , , ,80, ,45,80, , , , ,150, ,80,66,150, , , ,125, ,80,50,100,50, ,66,70, ,66, ,,,,,,,,30,28,,,,50,66,66,,150,100,,40,,,,,150,,,,,66,50,,33,66,,35,30,,45,25,,,,,,,,,,,, ,200,175,,,
Matt Kuchar,66,50,50,50,40,45,50, , ,40,66,25,28, , ,22,40,20,18, , , , , , , , , ,40,50,50, ,33,33, , , , ,50,22,18, ,45, , ,20,40,16,45, ,55, , ,50,35,25,25, ,,40,55,,50,40,, ,,,,,,80,45,,80,66,25,80,,,,,55,,45,33,12,50,,18,18,40,33,75,,60,50,,45,35,50,,,,,28,33,33,33, ,50,33,,,
Rickie Fowler,25,25,22,28,50,35,33,33,14, , , ,16,20,11, ,16, , , , , , , , , , , ,22,28,22, , ,28, , ,12, ,25, ,20,14,18, ,11, ,18,11, , ,20,12,10,16, , ,18,25,,,,,8,11,, ,,,,20,22,,,,22,20,,16,,,7,,18,,20,16,,20,10,,,18,10,,16,,16,8,,,16,10,,,7.5,10,12,14,14, ,14,16,,,
Matthew Fitzpatrick,50,125,100,100,50,45,66,40, ,50,66,22, , , , , , , , ,40,28, , , , , , , , , , ,55,66, , , , ,150, ,80,55,125, , ,40,125, ,70, ,70,80, , , ,50, , ,,,,,,,,50,,,,,,,,40,150,125,,60,,,,,125,,,,,125,,,80,100,,100,100,45,60,,,,,,,,,,,,, ,200,125,,,
Abraham Ancer,200, ,175, ,50,65,80,80, ,50,50, , , ,40,40, , ,25, , ,100,80, ,66,40, , ,66,80,125,66, ,200, , ,40,125,250, ,100,70,200,66, ,66, ,40,100, ,250,125, ,125,100, ,75,50,33,40,,,45,66,, ,66,80,33,,150,250,150,66,,,150,1000,,66,150,200,,150,300,200,125,,200,70,,,200,,,400,500,300,400,,,400,250,200,,,,,, , , ,,,
Branden Grace, , ,125, ,50,170,200, , ,100,100,28,40, , , , , , ,35, , ,125, ,150, , ,80, , ,150,100, ,150, , , , ,150, ,150,75,125,33, ,40,125, ,100,70,150, , ,90,50,40, ,70,,,,,,,,125,,40,,,,100,80,,100,75,,40,,,,,33,,45,,20,80,,,,80,,60,,55,66,,40,35,,,,,,,,100,80, ,50,40,,,
Tony Finau,66,40,33,28,50,40,50,33, , ,22, ,28,25,20, , , ,18, ,25,28, , ,22, , , ,25,40,50, ,33,80, ,33, ,33,50, ,20,25,33, ,22, ,40,16,33, ,50, , ,33,28,22,20,18,,,,,14,11,,18,,,,20,20,28,50,,40,50,16,100,,20,,,66,28,50,,,66,45,,,80,28,75,,28,33,,66,,35,28,,33,,50,100,80,66, ,50, ,,,
Billy Horschel,150,150,125,150,66,80,100,66,25,100, , ,80,66,28, , ,16,22, ,33,50,28, , , , , , ,50,60,28,66,200, , ,30, ,150, ,80,50,150, , ,40,150,25,80, ,80,50,40,70, , ,40,66,,,50,,25,,,66,25,14,,28,60,45,66,28,200,,33,,,,,80,,28,80,,20,55,,30,200,250,,,200,175,,100,150,100,125,100,,,90,,250,250,150,50,200,175,,,
Joel Dahmen,250, , , ,66,85,100,100, , ,250,150,125,150, ,125, ,66,125, , ,150,80, ,150, , ,80, ,400,300,200, ,500,50, , ,150,200, ,100,60,150, ,100,100, ,70, , ,500,250,150, ,200,150,150,200,150,175,,100,125,150,, ,175,125,100,,,300,125,,,,50,,100,100,150,150,,125,,200,175,,500,250,,,250,,,,,500,,500,,750,300,500,,,,,,350, , ,,,
Jason Kokrak,300, ,100, ,66,150,200,100,66,150,125, ,66,80,40, , , , , ,100,66, , ,40, , ,16,50,66,80,66, ,250, , ,60,66, , ,66,45,100, ,40,50, ,28, ,40,100,55,66, ,80,60,100,125,125,,,,,100,, ,125,100,,,175,250,125,66,500,,80,1000,,125,125,150,,,175,175,,250,150,66,70,,70,,75,66,,,80,80,110,,66,80,,,,125,175,90,300, ,,,
Ian Poulter,80,100,80,80,66,150,125,100,66, , , , , , , , , , , ,50, ,50, , , , , , ,66,80, ,80,80, , , , ,125, , ,45,80, , ,40,80, ,33, ,55,50, ,55, , , , ,,66,80,,,,,55,50,,,,125,90,66,,100,100,40,66,,,,,125,,,,,66,,,45,,80,125,150,125,,80,,,110,,,,,,150,125,80, ,100, ,,,
Bubba Watson,125,100,50,33,66,130,100,50, ,50,18, ,33,100, , , , , , ,100,80, , ,66, , ,28, , ,100, , ,200, , ,35,28,100,33, , ,50, , , ,33, ,28,45,75,40, ,33,20, ,40, ,,66,28,,,,, ,,,,55,60,80,66,,50,45,20,80,,20,,28,66,,33,,,66,,,,14,,50,35,,35,,45,80,66,,50,,,,,75,100, ,80,80,,,
Jason Day,40,33,25,28,66,45,80,28, , ,33,18, ,40, , , , ,18, , ,33,25, , , , , , ,50,40, ,30,40, ,12, ,20,33, ,22, ,22, ,10, ,28, ,20,12,40,14, , , ,10, ,14,,,14,,,,,16,14,,,22,20,16,14,,20,22,,33,,,,16,16,,14,,,16,18,,,16,,12,12,,,,,10,,18,,,,12,16,14,18, ,20,28,,,
Viktor Hovland, ,125, , ,66,65,125,66,28, , ,33,50, , , , , ,18, , ,25,20, , , , ,14, , , ,25, , ,16,30,45,66,300, , , , , , , ,750, , , , ,400, , , , , ,250,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Lowry,40,80,66,66,80,55,90, ,40,50, , , , , , , , , , ,40,50, , , , , , , ,66,66, ,60,66, , , , ,50,40, , ,150, , ,125,150, ,125, ,175,100, ,70, ,40, , ,,,,,,,, ,,,,,,,,22,150,,66,150,,,,,150,66,100,,,125,100,,,,125,,150,100,,100,80,66,50,50,,,,,,,,66,150, ,,,
Brian Harman,250, , , ,80,130,250,150,100, ,150, ,80, ,50,50, ,66,50, , , , ,22,66, ,28,50, , ,110,80, , ,25,55,50,100, ,80,150,110,250,100,175,100, ,100, ,90,350,200,100, , , ,150,125,50,55,,50,90,,,150,125,,,,275,200,175,,100,150,,200,,33,,66,125,,,50,,66,55,,28,80,,80,35,,60,35,,,,30,14,18,28,125,125,100,80, ,150,125,,,
Brandt Snedeker,125,66,100,100,80, ,80, , ,80, ,25,33,50, ,50, , , , , , , , ,40,25,16, ,40,66,80,22,66,150, , ,28,40,50,40, ,50,150, , ,66,100, ,70,40,150,80, ,80, ,50,50,40,,55,55,,,,,110,50,30,20,,66,66,40,22,150,,33,150,,40,,66,100,80,,100,35,80,,35,,,66,,55,70,,50,,35,70,40,35,,,,,,, , , ,,,
Sergio Garcia,50,80,66,50,80, ,50, , ,40,66, , , , , , , , , ,50,50,25, , , , , , , ,80, ,70,80, , , , ,100,28, , ,40, ,20, ,50, ,45,16,33, ,16,40,40, , , ,,,,,,,, ,,,,,,,,33,100,75,25,28,,,,,50,,,,14,35,,14,,28,,28,,16,28,16,,,,,,,,28,45,35,, ,33,28,,,
Rafael Cabrera Bello,80,125,125,125,80, ,150,80, ,80,125,50, , , , , , , , ,50,33,25, , , , , , ,80,80, ,60,66, , , , ,200, ,100, ,100,40, ,80,100, ,66,45,55,50, ,50,60,50, , ,,,,,,,,40,50,33,,,66,100,66,22,150,175,,125,,,,,100,,,,,66,,,,80,30,50,,,70,50,66,66,,,,,,,150,150,125, ,80,50,,,
Louis Oosthuizen,50,80,66,50,80,65,80, ,25,40, , , , , , , , , , ,50,40, , , , , , ,33,33,50, ,40,50, , , ,33,100, ,50,33,66, , ,28,40, ,45,40,80,50, ,66,50, , , ,,,,,,,, ,28,35,,,90,66,66,,80,80,,80,,,,,60,,75,75,,66,28,,,50,,50,60,55,66,66,,,,,,,,,45,33,40, ,100,75,,,
Harris English, , , , ,100,65,150,100,66, , , ,150,100,66, , ,28,33, , , , ,40, ,66,66,150, , , ,150, , , ,150,175,200,400,250, , , ,200,225,200, ,125, ,200,350,150,200, ,250, ,150,100,90,150,,125,150,150,100, ,,,125,,,,200,250,,,250,,160,125,100,150,,80,,150,75,200,,66,100,,80,,175,100,,125,80,,55,75,150,125,,,,,200,75, , ,,,
Joaquin Niemann,150,100, , ,100,85,150,80,50, ,80, , ,50, ,25,50, ,22, , ,40,35, ,28, ,12,22, ,80,100,50, ,200,25,33,40,100, ,100,80,110,250, ,110, , ,66, ,125, ,150,125, ,125, ,100,100,55,,,33,40,50,, ,40,,25,,,,,28,66,,28,,18,33,33,,,33,100,150,90,,100,100,,500,,,,,,,,,,,,,,,,,, , , ,,,
Corey Conners,250, , , ,100,110,250,100,66,125,100, ,80, , ,40,50, , , ,50,66,66, , ,50,28, ,66,200,250,125,250,400, ,110,100, , ,100,125,90,200, , ,80,150,150, , ,400,250, , , ,125, , ,55,,,125,,125,125, ,,,125,,,,,200,,,150,,125,125,125,200,,125,,250,125,,200,200,175,,125,,,250,,200,,200,,300,200,300,,,,,, , , ,,,
Cameron Smith,125, ,100,80,100,150,150, , ,100,100, ,50,40, ,50, , , , ,33, ,28, ,66, ,28,40, , , ,40,100,250, , ,100,125,150, , , ,125, , ,50,80, ,55, ,75, ,25,66,35, ,28,35,,28,,,,,,45,28,28,,55,45,100,175,,200,200,,200,,,,,175,,125,66,,66,,,22,100,,100,66,45,,,100,,66,55,,33,33,,350,250,175,125,300, ,,,
Lucas Glover, ,150,150, ,100,210,250,100,66,150, ,80, ,80,50, , , , , ,80,80,50, ,66,50,25, ,50,150,125,40, ,250,20,80, ,80,150, ,66, , , ,40,50, ,35, ,40,66,50,55, , ,100,80, ,45,,,28,,66,25, ,,,80,,,,,,,,,,,,,,300,125,200,,,150,90,,100,,100,,100,90,,150,200,,125,75,66,,,,200,200,150,50,150, ,,,
Luke List,250,125,125, ,100, ,300, ,80, ,250, ,200,200,250,150, ,125,125, , , ,80,60,150,100,50, , , ,250,150, ,300, ,80,80, ,200, ,80, ,200, ,80,66, ,55,100, ,100,66,33, ,100, ,66,66,40,,,35,33,,, ,,,50,,150,100,125,,125,125,,125,,,,80,150,50,125,,,66,50,22,40,,25,75,60,55,,80,125,,140,150,70,80,,,300,250,300, ,250, ,,,
Ryan Palmer,200, ,200, ,125,60,150, ,66, ,125, ,50,50, ,80,80, , , , ,100,75, ,80, , , , ,150,150, , ,300,50, , , , ,66, ,66,150,50, ,100, ,55, , ,175, ,100, , ,125,75,80,50,,,,,66,, ,150,150,,,200,150,200,,,,150,,100,,125,150,,80,,100,55,200,,50,90,,80,,,100,,80,,,70,150,125,100,,,,,,66, , ,,,
Adam Hadwin,200, ,175, ,125,120,150, , , ,100,66,150, , , , ,33, , ,66,50, , ,40,80, , , ,150,110,50, ,250, ,70, ,66, ,80,125, ,250, ,110,80, , , ,55,125,80, , ,50,45,40, ,25,70,,,45,,,150,100,,33,,110,150,200,,300,200,66,500,,,75,125,175,,125,50,,100,80,,22,125,,100,,28,75,,80,,75,66,50,,80,125,125,250,150, ,125,250,,,
Rory Sabbatini,300, , , ,125,150,250,150,80, ,200, ,100,100,66,80, ,50,50, , ,80,55, ,80, , , , ,80,80,50, ,300, ,40,50, ,200, ,50,40, ,50,100,150, ,110, ,150,350, ,200, , ,250,200,200,400,250,,,125,100,55, ,,,,,,,200,75,,,150,,110,80,100,150,,,125,100,55,200,150,,90,,100,,,175,,200,,150,225,250,200,300,,,,,150,100, , ,,,
Si Woo Kim,300,150,150,80,125,150,200,200,200, ,300,300,300, ,125, , ,80,80, , ,125,125, ,125,100,40, , ,150,125,125, ,300, ,125,100,100,150, ,125,70,150, , ,33,100,55,80, ,70,66, ,45,80, ,80,80,66,50,,,33,50,, ,50,66,,,200,250,200,40,150,200,125,300,60,,50,80,150,,125,75,,100,,40,100,250,,150,150,150,,,150,,110,90,,40,,,200,150,225, ,200,125,,,
Jim Furyk,200,125,125,100,125,150,150, ,80, ,150,66, , , , , ,50, , , , , , ,80,100, , , ,150,110, ,100,250, , , , ,150,50,100,80,150, , ,33, ,28,90,33,150, ,100, ,150,150, , ,,,,50,150,100,, ,,,,,,,,80,250,,125,,,100,,150,350,,350,200,,,,66,66,,,,,150,,200,200,,,,,,,,,,, ,250, ,,,
Bud Cauley, , , , ,125,180,250,100,80, ,150, ,80,100,125,125, , , , , , , ,45,100,66, ,66, , ,150,80, , ,50,80,100,100, ,66,150,100, , ,200,80, ,80, ,125,250, ,125, ,150, ,125,150,80,,,40,125,125,, ,,,55,,,,300,,,,,,,,,,,,175,,,150,90,,55,,80,,150,100,,80,125,,80,55,33,,,,250,200,150,28,175, ,,,
Patrick Rodgers, , , , ,125,200,250,150,100, ,200,100,200,250,250,250, ,125,250,45, , , ,100,200,150,100,250, , ,500,250, , , , , , , , , , , , , , , ,110, ,175,200,125,125, ,200,200,200,125,,80,,66,50,50,20, ,,,40,,,,,80,,,100,,40,50,40,75,200,100,300,175,100,200,100,80,,,80,,150,100,,80,150,200,200,125,,100,,,,300,225, ,200, ,,,
Luke Donald, , , , ,125, , , ,250, , ,300,300, , , , ,200,200, , , , , , , , , , , , ,250, , ,150, ,200, ,300,150,250, , ,150, ,50, ,80, ,250, , , , , , , , ,,300,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,150,40,,,,275,175,,125,200,150,,200,,125,,,,,350,100,300, ,,,
Max Homa, , , , ,150,90,125,80, , ,100,50,125,250,150, ,150, , , , ,250,250, ,200,200, , , ,250,400, ,250, , ,110,125,200, , ,150,125,200, ,300, , ,200, ,250, , ,200, , ,350, , ,500,400,,500,500,200,125, ,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500, , ,,,
Maverick McNealy, , , , ,150,100, ,100,80, , ,125, ,200,250, , ,150,150,40, , , ,150,300,300,300,250, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,250, ,,,300,,,,,,,,,,,,,,,,,175,85,,,,,,,,,,,,,150,,250,200,,,,,,, , , ,,,
Christiaan Bezuidenhout, , , , ,150,120,150,125, ,100, , , , , , , , , , ,125, , , , , , , , , , , , ,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Knox,150, ,150, ,150,130,200,100,80, ,150,50,80,100,50,80, ,33,28,22, , , ,40,80, , ,66, , ,150,80, ,200, , , ,60, , ,100,80,200,66, ,50, , ,100,55,150, ,50,90, ,60,100,80,50,70,,,,,,80,,,50,,,200,100,,150,80,,66,,,,50,250,66,100,66,70,175,,70,60,,80,,125,70,,40,,100,90,80,40,80,,,,200,175,50,150,250,,,
Zach Johnson,125,150,125,150,150,140,300,200,150, , , ,125, ,66,100, ,40,80, , , , , ,100, ,80,66, , , ,100, ,200,33, , , ,200,100, ,60,175, ,80,66,150, , ,80,100,80,66, , , ,66, ,50,40,,40,40,,, ,,,,,90,70,50,,100,50,,100,12,,,66,100,,100,30,,55,,40,50,100,,66,66,70,,,,,50,,28,33,,,70,100,66, ,66,66,,,
Graeme McDowell,125,125,100, ,150,160,200,100, ,100, ,33, , , ,125,125, ,66, , ,100,80, , , , , , ,200,150, , ,66, , , , ,100,80, ,60,150, , ,50, ,40, ,125, ,125,70, , ,125, , ,100,,,80,90,125,, ,150,,,,,,,50,,,125,,,,,100,200,,,,50,,175,100,90,,,,150,100,,66,200,80,,,,,,,,,,75,250, ,,,
